,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
0,1 Of Tov Hatching Farm,Israel,Kfar Daniel,C10 - Manufacture of food products,Of Tov,tigi,tigi,2017-01-01,flat plate collector,TIGI HC1.A,313.5,270.6,212.4,water/glycol,short-term water storage,20.0,other,other,washing,cleaning,B3) Heating of process heat storage,65 C,up to 100 C,300000.0,no subsidies,20,956.94,,,,,C10 - Manufacture of food products
1,ABB Longmeadow,South Africa,"ABB Distribution Centre in Modderfontein, Gauteng",C28 - Manufacture of machinery and equipment n.e.c.,,solar heat exchangers,ivan goldsmith consulting,2009-01-01,flat plate collector,,144.0,,100.8,Water/glycol,Short-term water storage,30.0,Other,Other,nan,Other process heating,Different integration points (see remarks),,,1.0,No information on subsidy,,0.01,,Solar Heat Exchangers,info@solarheat.co.za,http://www.solarheat.co.za/,C28 - Manufacture of machinery and equipment n.e.c.
2,Abbott Healthcare,India,Abbott Healthcare Pvt. Ltd,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Abbott Healthcare,forbes solar,forbes solar,2014-01-01,various collector,,186.0,186.0,130.2,,,,,,hot water generated from dishes is fed to boiler which produces steam for preparing drugs,Other process heating,A2a) Heating of return line,,,73920.0,17371,,397.42,,CSH India,contact@cshindia.in,http://www.cshindia.in,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
3,Achaia Clauss S.A.,Greece,Patra,C11 - Manufacture of beverages,Achaia Clauss S.A.,sole sa,nan,1994-01-01,flat plate collector,,308.0,,215.6,water,short-term water storage,15.0,steam boiler,fuel oil,bottle washing in winery,cleaning,A3) Heating of supply heat storage,45 to 60 °C required,37 - 51,36036.0,no subsidies,0,117.0,117l/m3,Sole,miriam@sole.gr,http://www.eurostar-solar.com/,C11 - Manufacture of beverages
4,Acme McCrary,United States,"Asheboro, North Carolina",C13 - Manufacture of textiles,FLS Energy (contractor for Acme McCrary),aet alternate energy technologies,nan,2012-01-01,flat plate collector,,743.0,,520.1,Water/glycol,Short-term water storage,1.0,,,hot water for textile drying process,Drying,C) Other integration points,,,1.0,"30% in federal tax credits, another 35% in state tax credits from North Carolina",0,0.0,,FLS Energy,ralexander@flsenergy.com,http://www.flsenergy.com/images/casestudies/AcmeMcCraryCaseStudy.pdf,C13 - Manufacture of textiles
5,Acuinova Andalucia S.A.,Spain,Huelva,"A - Agriculture, forestry and fishing",Acuinova Andalucia S.A.,isofoton sa,isofoton sa,1996-01-01,flat plate collector,,1316.0,,921.2,,,75.0,,,heating water for a fish farm,Other process heating,C) Other integration points,23 - 26,20 - 40,589568.0,No subsidies,0,448.0,,Isofoton,spain@isofoton.com,,"A - Agriculture, forestry and fishing"
6,Adams Farm Slaughterhouse,United States,"Athol, Massachusetts",C10.1 - Processing and preserving of meat and production of meat products,,paradigm partners,nan,2013-01-01,flat plate collector,,297.0,,207.9,,,,,,nan,Cleaning,Different integration points (see remarks),,,1.0,not known,,0.0,,SEIA,kstainken@seia.org,,C10 - Manufacture of food products
7,Agrana fruit,México,"Jacona de Plancarte, Michoacán",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,742.5,297.0,112.85,Water,Short-term water storage,9.0,Hot water boiler,Other,boiler preheating,Other process heating,A1) Heating of make-up water,25/118,,110435.0,No Subsidies,,148.73,,,,,C10 - Manufacture of food products
8,Agriculture University Tamil Nadu,India,"Tamil Nadu Agricultural University, PN Pudur, Coimbatore, Tamil Nadu 641003, Indien",C10 - Manufacture of food products,Agriculture University Tamil Nadu,ate enterprises,ate enterprises,2016-01-01,various collector,,250.0,250.0,175.0,,,,,Other,steam cooking,Cooking,A3) Heating of supply heat storage,,,78540.0,29700,,314.16,,CSH India,contact@cshindia.in,http://www.cshindia.in,C10 - Manufacture of food products
9,Agropecuaria tarasca S de PR de RL,México,"Morelia, Michoacán, Mexico",C10.9 - Manufacture of prepared animal feeds,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,264.0,264.0,126.0,Water,Short-term water storage,12.15,Hot water boiler,Other,pelletized of birds,Other process heating,A2b) Heating of supply line,25/95,,68889.0,No Subsidies,,260.94,,,,,C10 - Manufacture of food products
10,Alanod Solar,Germany,"Alanod Solar, Ennepetal","C25 - Manufacture of fabricated metal products, except machinery and equipment",Alanod Solar,solitem,dlr,,parabolic trough collector,,108.0,,75.6,,no solar energy storage,,,,production of saturated steam,general process heating,Heat integration points 400px,"143 °C, 4bar",,0.01,no information available,,0.0,,IEA Task 49,w.glatzl@aee.at,http://www.dlr.de/desktopdefault.aspx/tabid-6224/10236_read-25442/,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
11,Alimentos y productos para ganado lechero SA de CV,México,"Tijuana, Baja California, Mexico",C10.9 - Manufacture of prepared animal feeds,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,412.5,412.5,179.85,Water,Short-term water storage,24.4,Hot water boiler,Other,water heating,General process heating,A1) Heating of make-up water,20/60,,125686.0,No Subsidies,,304.69,,,,,C10 - Manufacture of food products
12,Allegro S.A. Children's Cloathing Manufacturer,Greece,Athens,C13 - Manufacture of textiles,Allegro S.A. Children's Cloathing Manufacturer,sole sa,sole sa,1993-01-01,flat plate collector,,70.0,,49.0,water/glycol,short-term water storage,3.5,,,hot water for the washing machines of children cloathing,cleaning,C) Other integration points (please specify),33 - 60,,10400.0,no subsidies,0,148.57,,Sole,miriam@sole.gr,http://www.eurostar-solar.com/,C13 - Manufacture of textiles
13,Alpino S.A.,Greece,"Thessaloniki, Greece",C10.5 - Manufacture of dairy products,Alpino S.A.,sunny sa,nan,1999-01-01,flat plate collector,,740.0,,518.0,water/glycol,short-term water storage,25.0,steam boiler,fuel oil,hot water preheating in steam boiler,general process heating,A3) Heating of supply heat storage,20-70 °C,,1.0,no subsidies,0,0.0,,Alpino S.A.,alpinosa@otenet.gr,http://www.cres.gr/kape/pdf/download/dairy_leaflet.pdf,C10 - Manufacture of food products
14,Alpino S.A. (2),Greece,Thessaloniki,C10 - Manufacture of food products,Alpino S.A.,sunny sa,sunny sa,2000-01-01,flat plate collector,,740.0,,518.0,,,20.0,,,"hot water for cleaning equipment, and prheating of boiler feed water",cleaning,,20 - 130,,131720.0,no subsidies,0,178.0,,,,,C10 - Manufacture of food products
15,AMR Dal mill,India,"Theni, India","A - Agriculture, forestry and fishing",,nan,nan,2012-01-01,air collector,,230.0,,161.0,,,,Steam boiler,Fuel oil,drying of pulse,Drying,B2) Heating of process medium,65-75,Avg 75-80 max 110,16915.0,6766 subsidies availed from MNRE,15,73.54,,Planters Energy Network – PEN,info@pen.net.in,,"A - Agriculture, forestry and fishing"
16,Anglo Plat – Brakfontein,South Africa,"Brakfontein, KwaZulu-Natal",B - Mining and quarrying,,solar heat exchangers,rsv engineers,2007-01-01,flat plate collector,,540.0,,378.0,,Short-term water storage,42.0,,,usage is primarily for ablution facility,Cleaning,B3) Heating of process heat storage,,,1.0,No information on subsidy,,0.0,,Solar Heat Exchangers,info@solarheat.co.za,http://www.solarheat.co.za/,B - Mining and quarrying
17,Anglo Plat – Middelpunt,South Africa,"Burgersfort, Limpopo, Südafrika",B - Mining and quarrying,Anglo Plat,solar heat exchangers,rsv engineers,2008-01-01,flat plate collector,,180.0,,126.0,Water/glycol,Short-term water storage,14.2,Other,,usage is primarily for ablution facility,Cleaning,B3) Heating of process heat storage,,,1.0,No information on subsidy,,0.01,,Solar Heat Exchangers,info@solarheat.co.za,http://www.solarheat.co.za/,B - Mining and quarrying
18,Aroma Plant Romania,Romania,RO-Teleorman,"A - Agriculture, forestry and fishing",AromaPlant Srl.,grammer solar gmbh,nan,2007-01-01,air collector,,80.0,,56.0,air,no solar energy storage,1.0,,,drying of medicinal plants,drying,B2) Heating of process medium (please specify),,,36000.0,no subsidies,25,450.0,,,,,"A - Agriculture, forestry and fishing"
19,Autolavados Carte S.A.,Spain,Huelva,S - Other services activities,Autolavados Carte S.A.,disol sa,solar del valle,1994-01-01,flat plate collector,,138.0,,96.6,,,12.0,,,prehating of boiler feed water used for washing of cisterns and cars,General process heating,C) Other integration points,40 - 70,,64032.0,No subsidies,0,464.0,,Disol S.A.,info@disol.es,,S - Other services activities
20,Ayutthaya tannery,Thailand,Ayutthaya,C15 - Manufacture of leather and related products,Ayutthaya tannery,aschoff solar,aschoff solar,2013-01-01,evacuated tube collector,,1890.0,,1323.0,Water,Short-term water storage,80.0,,,solar heat for retanningprocess,Retanning,B2) Heating of process medium,80 °C for retanning,,1.0,No subsidies,0,0.0,,Aschoff-Solar,o.mumper@aschoff-solar.com,http://www.aschoff-solar.com/,C15 - Manufacture of leather and related products
21,B.G. Chitale,India,Sangli,C10.5 - Manufacture of dairy products,B.G. Chitale,clique solar pvt ltd,clique solar pvt ltd,2009-01-01,various collector,Arun Dish,320.0,320.0,224.0,,,,,Fuel oil,pasteurization of milk,Pasteurization,B1) Heating of process(es) / process vessel(s),,150,63049.17,"31537,73",,197.03,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,C10 - Manufacture of food products
22,B.S. Paper Mill,India,Ludhiana,C17 - Manufacture of paper and paper products,B.S. Paper Mill,taylormade solar solutions pvt ltd,taylormade solar solutions pvt ltd,2011-01-01,various collector,Scheffler Dishes,160.0,160.0,112.0,,,,,Biomass,for different process applications in the paper mill,Other process heating,C) Other integration points,,90 °C to 98°C,27266.99,"10512,58",,170.42,,CSH India,contact@cshindia.in,http://www.cshindia.in/images/ProcessHeat/B.S.%20Paper%20Mill.pdf,C17 - Manufacture of paper and paper products
23,Barcel SA de CV,México,"Mérida, Yucatán, Mexico",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 250,529.2,176.8,77.9,Thermo-Oil,Other,0.15,Other,Natural gas,vegetal oil heating,Cooking,B2) Heating of process medium (please specify),35/164,30/200,81349.0,No Subsidies,,153.72,,,,,C10 - Manufacture of food products
24,Barcel SA de CV,México,"Calle Anillo Perimetral 116, Delegación San Lorenzo Tepaltitlán I, Delegación San Lorenzo Tepaltitlán, 50010 Toluca de Lerdo, Méx.",C10 - Manufacture of food products,Barcel,modulo solar,modulo solar,2011-01-01,flat plate collector,Hiper Tinox,172.0,155.0,120.0,Water,Short-term water storage,12.0,Steam boiler,Natural gas,preheat of steam production,General process heating,A1) Heating of make-up water,60/70,55/75,40000.0,No Subsidies,,232.56,60,,,,C10 - Manufacture of food products
25,Barrington Brewery & Restaurant,United States,"Great Barrington, Massachusetts",C11 - Manufacture of beverages,,stielbel eltron,nan,2009-01-01,flat plate collector,,82.0,,57.4,,Short-term water storage,5.7,,,brewing processes,Other process heating,B1) Heating of process(es) / process vessel(s),,,68643.0,40378,30,837.11,,SEIA,kstainken@seia.org,,C11 - Manufacture of beverages
26,BASF MEXICO,México,"Insurgentes Sur 975, Cd de los Deportes, 03710, Ciudad de México, CDMX",C20 - Manufacture of chemicals and chemical products,BASF MEXICO,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,30.0,27.0,21.0,water,Short-term water storage,1.5,Hot water boiler,Natural gas,preheat of hot water,General process heating,A1) Heating of make-up water,60-70,60-80,9900.0,No Subsidies,25,330.0,50,,,,C20 - Manufacture of chemicals and chemical products
27,Battenkill Valley Creamery,United States,"Salem, New York",C10.5 - Manufacture of dairy products,,the radiant store,nan,,flat plate collector,,53.0,,37.1,,Short-term water storage,,,,preheating water at the production and bottling facility and preheating washdown water,Cleaning,Different integration points (see remarks),,,45223.0,40378,25,853.26,,SEIA,kstainken@seia.org,,C10 - Manufacture of food products
28,Bergamo,Italy,"Viale Parigi, 24040 Verdellino BG, Italy",C28 - Manufacture of machinery and equipment n.e.c.,Robur S.p.A,industrial solar gmbh (formerly pse ag),industrial solar gmbh (formerly pse ag),2006-01-01,fresnel collector,LF-11,183.0,132.0,74.0,water,,,,,refrigeration,Cooling processes,B1) Heating of process(es) / process vessel(s),,195,1.0,,,0.01,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,C28 - Manufacture of machinery and equipment n.e.c.
29,Bergen Solar,India,Gurgaon,C27 - Manufacture of electrical equipment,Bergen Solar,bergen solar power & energy ltd,bergen solar power & energy ltd,2012-01-01,various collector,Non imaging Concentrator,20.0,20.0,14.0,,,,,Coal,integrated in existing process,Other process heating,B1) Heating of process(es) / process vessel(s),,120 - 140°C,6570.36,No subsidy,,328.52,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,C27 - Manufacture of electrical equipment
30,BERMEJILLO CHAPIN,México,"Carretera Gómez Palacio- Ciudad Juárez, Bemejillo, 35230 km 40, Dgo.","A - Agriculture, forestry and fishing",CHAPING,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,200.0,180.0,140.0,Water/Glycol,Short-term water storage,9.0,Hot water boiler,other,preheat of water,General process heating,A1) Heating of make-up water,60-75,60-80,60400.0,No Subsidies,25,302.0,70,,,,"A - Agriculture, forestry and fishing"
31,BEVCO S de RL DE CV,México,"Guadalajara, Jalisco, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,33.0,33.0,15.05,Water,Short-term water storage,2.5,Hot water boiler,Other,boiler preheating,Pasteurization,A2b) Heating of supply line,20/90,,24131.0,No Subsidies,,731.24,,,,,C11 - Manufacture of beverages
32,BHP Billiton Wolwekrans Colliery,South Africa,"Middelburg, Südafrika",B - Mining and quarrying,BHP Billiton Wolwekrans Colliery,genergy,nan,2013-01-01,flat plate collector,,390.0,,273.0,,,40.0,Other,,"mining facility, laundry, shower",Cleaning,B1) Heating of process(es) / process vessel(s),60,,1.0,No information on subsidy,,0.0,,Genergy,info@genergy.co.za,http://genergy.co.za/,B - Mining and quarrying
33,Biotecnología Mexicana de Microalgas S.A. de C.V.,México,"Zapopan, Jalisco, Mexico",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,66.0,66.0,31.67,,,10.0,,,water treatment,General process heating,B1) Heating of process(es) / process vessel(s),55/75,,28038.0,No Subsidies,,424.82,,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
34,BMW Manufacturing,South Africa,Rosslyn,"C29 - Manufacture of motor vehicles, trailers and semi-trailers",BMW,hbc group,hbc group,,evacuated tube collector,,200.0,,140.0,Water,Short-term water storage,24.2,,,hot water used in the paint application process,Painting,B2) Heating of process medium,90°C,,1.0,No information on subsidy,,0.01,,Marc,marc@hbcgroupsa.com,http://www.hbcgroupsa.com,"C29 - Manufacture of motor vehicles, trailers and semi-trailers"
35,Bomans Lackering,Sweden,"Stockholm, Sweden","C26 - Manufacture of computer, electronic and optical products",Bomans Lackering,absolicion,nan,,parabolic trough collector,,100.0,,40.0,,,,,,hot water for chemical baths that provide gold plating for radio cabinets,Surface treatment,B1) Heating of process(es) / process vessel(s),Heat at 160 °C,,0.01,The customer made use of the government’s solar power subsidies,0,0.0,,IEA - Task 49,w.glatzl@aee.at,http://www.absolicon.com/case/bomans-lackering/,"C26 - Manufacture of computer, electronic and optical products"
36,Bonaprime slaughterhouse,México,"Colonia polvora, mexicali",C10.1 - Processing and preserving of meat and production of meat products,Carnes selectas de Mexico SA de CV,modulo solar,modulo solar,2015-01-01,flat plate collector,Hiper Tinox,65.0,60.0,45.5,Water,Short-term water storage,3.0,Hot water boiler,Natural gas,preheat of hot water,Cleaning,A1) Heating of make-up water,65/70,65/85,16800.0,0.5,25,258.46,65,,,,C10 - Manufacture of food products
