,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
7,Agrana fruit,mexico,"Jacona de Plancarte, Michoacán",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,742.5,297.0,112.85,Water,Short-term water storage,9.0,Hot water boiler,Other,boiler preheating,Other process heating,A1) Heating of make-up water,25/118,,110435.0,No Subsidies,,148.73,,,,,C10 - Manufacture of food products
9,Agropecuaria tarasca S de PR de RL,mexico,"Morelia, Michoacán, Mexico",C10.9 - Manufacture of prepared animal feeds,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,264.0,264.0,126.0,Water,Short-term water storage,12.15,Hot water boiler,Other,pelletized of birds,Other process heating,A2b) Heating of supply line,25/95,,68889.0,No Subsidies,,260.94,,,,,C10 - Manufacture of food products
11,Alimentos y productos para ganado lechero SA de CV,mexico,"Tijuana, Baja California, Mexico",C10.9 - Manufacture of prepared animal feeds,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,412.5,412.5,179.85,Water,Short-term water storage,24.4,Hot water boiler,Other,water heating,General process heating,A1) Heating of make-up water,20/60,,125686.0,No Subsidies,,304.69,,,,,C10 - Manufacture of food products
23,Barcel SA de CV,mexico,"Mérida, Yucatán, Mexico",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 250,529.2,176.8,77.9,Thermo-Oil,Other,0.15,Other,Natural gas,vegetal oil heating,Cooking,B2) Heating of process medium (please specify),35/164,30/200,81349.0,No Subsidies,,153.72,,,,,C10 - Manufacture of food products
24,Barcel SA de CV,mexico,"Calle Anillo Perimetral 116, Delegación San Lorenzo Tepaltitlán I, Delegación San Lorenzo Tepaltitlán, 50010 Toluca de Lerdo, Méx.",C10 - Manufacture of food products,Barcel,modulo solar,modulo solar,2011-01-01,flat plate collector,Hiper Tinox,172.0,155.0,120.0,Water,Short-term water storage,12.0,Steam boiler,Natural gas,preheat of steam production,General process heating,A1) Heating of make-up water,60/70,55/75,40000.0,No Subsidies,,232.56,60,,,,C10 - Manufacture of food products
26,BASF MEXICO,mexico,"Insurgentes Sur 975, Cd de los Deportes, 03710, Ciudad de México, CDMX",C20 - Manufacture of chemicals and chemical products,BASF MEXICO,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,30.0,27.0,21.0,water,Short-term water storage,1.5,Hot water boiler,Natural gas,preheat of hot water,General process heating,A1) Heating of make-up water,60-70,60-80,9900.0,No Subsidies,25,330.0,50,,,,C20 - Manufacture of chemicals and chemical products
30,BERMEJILLO CHAPIN,mexico,"Carretera Gómez Palacio- Ciudad Juárez, Bemejillo, 35230 km 40, Dgo.","A - Agriculture, forestry and fishing",CHAPING,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,200.0,180.0,140.0,Water/Glycol,Short-term water storage,9.0,Hot water boiler,other,preheat of water,General process heating,A1) Heating of make-up water,60-75,60-80,60400.0,No Subsidies,25,302.0,70,,,,"A - Agriculture, forestry and fishing"
31,BEVCO S de RL DE CV,mexico,"Guadalajara, Jalisco, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,33.0,33.0,15.05,Water,Short-term water storage,2.5,Hot water boiler,Other,boiler preheating,Pasteurization,A2b) Heating of supply line,20/90,,24131.0,No Subsidies,,731.24,,,,,C11 - Manufacture of beverages
33,Biotecnología Mexicana de Microalgas S.A. de C.V.,mexico,"Zapopan, Jalisco, Mexico",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,66.0,66.0,31.67,,,10.0,,,water treatment,General process heating,B1) Heating of process(es) / process vessel(s),55/75,,28038.0,No Subsidies,,424.82,,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
36,Bonaprime slaughterhouse,mexico,"Colonia polvora, mexicali",C10.1 - Processing and preserving of meat and production of meat products,Carnes selectas de Mexico SA de CV,modulo solar,modulo solar,2015-01-01,flat plate collector,Hiper Tinox,65.0,60.0,45.5,Water,Short-term water storage,3.0,Hot water boiler,Natural gas,preheat of hot water,Cleaning,A1) Heating of make-up water,65/70,65/85,16800.0,0.5,25,258.46,65,,,,C10 - Manufacture of food products
43,Buenavista Greenhouse,mexico,"Buenavista, Jalisco, México","A - Agriculture, forestry and fishing",,inventive power sapi de cv,inventive power sapi de cv,2013-01-01,parabolic trough collector,Power Trough 110,66.0,,36.0,Water/Glycol,Short-term water storage,2.5,Hot water boiler,Natural gas,space heating,Heating of production halls,B3) Heating of process heat storage,,20/80,20000.0,0.5,,303.03,,,,,"A - Agriculture, forestry and fishing"
44,Canels SA de CV,mexico,"San Luis Potosi, San Luis Potosi, Mexico",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,80.0,264.0,118.0,Water,Short-term water storage,2.0,Steam boiler,Natural gas,preparation of chewing gum,Cooling processes,C) Other integration points (please specify),25/80,,84307.0,No Subsidies,,1053.84,,,,,C10 - Manufacture of food products
46,Carnes la laguna slaughterhouse,mexico,"Km. 8 Carretera a Cd. Juárez Durango #40, Cd. Lerdo, Dgo",C10.1 - Processing and preserving of meat and production of meat products,Carnes la laguna sa de cv,modulo solar,modulo solar,2009-01-01,evacuated tube collector,SPO-1500,99.0,80.0,69.0,Water,Short-term water storage,6.0,Hot water boiler,Fuel oil,cleaning of slaughterhouse,Cleaning,A1) Heating of make-up water,65-80,55-85,39000.0,No Subsidies,,393.94,70,,,,C10 - Manufacture of food products
47,Carnes MUMA,mexico,"Aurelio Anaya Pérez 250, Cd Industrial, Torreón, Coah.",C10.1 - Processing and preserving of meat and production of meat products,Carnes MUMA SA de CV,modulo solar,modulo solar,2009-01-01,evacuated tube collector,SPO-1500,72.0,64.0,50.0,Water,Short-term water storage,5.0,Chp plant,Natural gas,nan,Cleaning,A1) Heating of make-up water,60-80,50-90,26000.0,No Subsidies,20,361.11,60,,,,C10 - Manufacture of food products
48,Carnes selectas de mexico SA de CV,mexico,"Colonia polvora, mexicali",C10.1 - Processing and preserving of meat and production of meat products,Carnes selectas de mexico SA de CV,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,175.0,158.0,122.5,Water/Glycol,Short-term water storage,5.0,Hot water boiler,Natural gas,preheat of hot water,Cleaning,A1) Heating of make-up water,55-85,50-90,49000.0,50,25,280.0,65,,,,C10 - Manufacture of food products
49,Carnes Selectas de Sonora SA de CV,mexico,"Zapopan, Jalisco, Mexico",C10.1 - Processing and preserving of meat and production of meat products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,46.2,46.2,22.2,Water,Short-term water storage,3.0,Hot water boiler,Other,cleaning equipment,Cleaning,A2b) Heating of supply line,20/70,,13281.0,No Subsidies,,287.47,,,,,C10 - Manufacture of food products
52,Casa Armando Guillermo Prieto SA de CV,mexico,"Tlacolula de Matamoros, Oaxaca, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,326.7,326.7,136.79,Water,Short-term water storage,9.9,Hot water boiler,Other,boiler preheating,Evaporation and distillation,A2b) Heating of supply line,21/90,,109007.0,No Subsidies,,333.66,,,,,C11 - Manufacture of beverages
